id;name;description;country_id
1;Jakemy;Fabricante de herramientas y kits de reparación para celulares y electrónica.;288
2;Kaisi;Marca especializada en kits de herramientas para técnicos de celulares.;288
3;iFixit;Empresa estadounidense que fabrica herramientas y guías para reparación de dispositivos.;312
4;Sunshine;Fabricante de estaciones de soldado, microscopios y herramientas electrónicas.;288
5;Yaxun;Marca de herramientas electrónicas y estaciones de soldado para reparación.;288
6;Relife;Fabricante de herramientas profesionales para reparación de teléfonos.;288
7;Qianli;Marca líder en instrumentos de precisión para técnicos de celulares.;288
8;Mechanic;Fabricante de productos para soldadura y reparación de placas.;288
9;Best;Marca de accesorios, herramientas y productos de soldadura para técnicos.;288
10;Amtech;Productor de flux y materiales para soldadura electrónica.;312
11;Goot;Marca japonesa de herramientas de soldadura y estaño.;371
12;Quick;Fabricante de estaciones de soldadura y reballing.;288
13;Jovy;Marca de equipos de rework y soldadura BGA.;468
14;Baseus;Fabricante de cables, cargadores y accesorios móviles premium.;288
15;UGREEN;Empresa que fabrica accesorios electrónicos de alta calidad.;288
16;Anker;Marca reconocida de cargadores, cables y power banks.;288
17;Mcdodo;Fabricante de cables y cargadores inteligentes con diseño innovador.;288
18;Aukey;Marca de accesorios tecnológicos como cargadores y hubs USB.;288
19;LDNIO;Fabricante de cargadores, regletas y accesorios eléctricos.;288
20;Remax;Marca de accesorios móviles como cables, audífonos y cargadores.;288
21;Hoco;Fabricante de accesorios móviles económicos.;288
22;Energizer;Marca estadounidense de baterías y power banks.;312
23;Pineng;Fabricante de power banks y cargadores portátiles.;288
24;Romoss;Marca de power banks y cargadores rápidos.;288
25;Oraimo;Fabricante de accesorios móviles y electrónicos.;413
26;Logitech;Fabricante suizo de periféricos como teclados, ratones y cámaras.;462
27;Redragon;Marca de periféricos gamer de gama media y alta.;288
28;Razer;Fabricante estadounidense de periféricos y laptops gamer.;312
29;Corsair;Fabricante de hardware y periféricos gamer.;312
30;HyperX;Marca de Kingston especializada en productos gamer.;312
31;HP;Fabricante de computadoras, impresoras y periféricos.;312
32;Dell;Empresa estadounidense de hardware y periféricos.;312
33;Keychron;Fabricante de teclados mecánicos premium.;288
34;Apple;Fabricante líder de smartphones, tablets y laptops.;312
35;Samsung;Conglomerado surcoreano de electrónica y tecnología.;296
36;Xiaomi;Fabricante de smartphones y dispositivos inteligentes.;288
37;Oppo;Marca china de teléfonos inteligentes.;288
38;Realme;Submarca de Oppo enfocada en smartphones accesibles.;288
39;Vivo;Fabricante de smartphones y accesorios tecnológicos.;288
40;Honor;Marca de smartphones antes subsidiaria de Huawei.;288
41;Infinix;Fabricante de smartphones y accesorios.;288
42;Tecno;Fabricante de teléfonos inteligentes enfocado en mercados emergentes.;288
43;Spigen;Fabricante de fundas y protectores para móviles.;296
44;Nillkin;Marca china de fundas, protectores y accesorios móviles.;288
45;ESR;Fabricante de fundas, protectores y accesorios tecnológicos.;288
46;Ringke;Marca surcoreana de fundas y protectores.;296
47;UAG;Fabricante de carcasas resistentes para móviles y tablets.;312
48;OtterBox;Marca estadounidense de fundas protectoras premium.;312
49;Tianma;Fabricante de pantallas y repuestos OEM.;288
50;BOE;Líder mundial en la fabricación de paneles y pantallas LCD/OLED.;288
